country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Domestic Aviation,Ground Transport,Industry,Power,Residential,Country,Agriculture,Building,Bunker Fuels,Electricity/Heat,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Total excluding LUCF,Total including LUCF,Transportation,Waste
Brazil,2020-03-24,-71.0,-33.0,-62.0,-63.0,-51.0,22.0,0.00738751,0.38099965,0.35660668,0.13433665,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-25,-69.0,-32.0,-57.0,-63.0,-52.0,23.0,0.00561408,0.4223438,0.35259513,0.13282547,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-26,-69.0,-29.0,-54.0,-62.0,-50.0,22.0,0.00542277,0.42726815,0.37544895,0.14143469,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-27,-67.0,-26.0,-56.0,-60.0,-48.0,23.0,0.00503594,0.39220154,0.36649755,0.13806262,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-28,-70.0,-27.0,-64.0,-59.0,-41.0,19.0,0.0032164999999999997,0.25957923,0.28609326,0.10777367,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-29,-71.0,-35.0,-70.0,-62.0,-34.0,17.0,0.0023131999999999996,0.10978262,0.29282199,0.11030844,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-30,-62.0,-26.0,-55.0,-59.0,-43.0,20.0,0.00308042,0.35749312,0.32141049,0.12107796,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-31,-60.0,-21.0,-53.0,-58.0,-45.0,19.0,0.00327881,0.39075389,0.294488,0.11093604,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-01,-58.0,-19.0,-48.0,-57.0,-45.0,20.0,0.00306674,0.40097342,0.31110187,0.13498277,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-02,-59.0,-17.0,-48.0,-57.0,-45.0,20.0,0.00312523,0.40347226,0.31605385,0.13713136,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-03,-60.0,-14.0,-52.0,-55.0,-42.0,20.0,0.00324107,0.41925646,0.31682453,0.13746575,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-04,-63.0,-13.0,-60.0,-53.0,-35.0,16.0,0.00198512,0.29165925,0.30057242,0.13041418,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-05,-67.0,-24.0,-66.0,-57.0,-30.0,15.0,0.00205925,0.11683464,0.29458920000000005,0.12781815,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-06,-56.0,-14.0,-53.0,-53.0,-38.0,18.0,0.00288747,0.37796357,0.25946214,0.11257701,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-07,-53.0,-8.0,-50.0,-53.0,-40.0,17.0,0.00270356,0.42418879,0.22395962,0.09717296,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-08,-52.0,-7.0,-46.0,-52.0,-40.0,18.0,0.0028491,0.432012,0.25243082,0.10952621,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-09,-49.0,11.0,-40.0,-49.0,-41.0,16.0,0.00303776,0.44316598,0.2683821,0.11644725,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-10,-76.0,-38.0,-58.0,-69.0,-72.0,27.0,0.00278409,0.15741942,0.27875496,0.12094789,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-11,-59.0,-5.0,-59.0,-52.0,-36.0,16.0,0.00184974,0.17210463,0.26775140000000003,0.11617360000000002,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-12,-67.0,-25.0,-67.0,-55.0,-26.0,13.0,0.00156717,0.11094580000000001,0.25647342,0.11128024,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-13,-54.0,-19.0,-52.0,-53.0,-35.0,17.0,0.00285624,0.37440204,0.25226713,0.10945519,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-14,-56.0,-20.0,-54.0,-55.0,-39.0,18.0,0.00264499,0.41048552,0.24652371,0.10696320000000001,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-15,-54.0,-17.0,-47.0,-53.0,-38.0,18.0,0.002732,0.42100919,0.22148433,0.09609896,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-16,-56.0,-14.0,-46.0,-53.0,-38.0,18.0,0.00207222,0.42325903,0.23513162,0.10202033,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-17,-55.0,-11.0,-50.0,-51.0,-36.0,19.0,0.00194306,0.43947087,0.23739333,0.10300166,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-18,-61.0,-15.0,-59.0,-50.0,-28.0,15.0,0.00159067,0.30853402,0.23600781,0.1024005,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-19,-67.0,-23.0,-64.0,-56.0,-25.0,14.0,0.00136735,0.12562062,0.22675164,0.09838437,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
